City,State,repeticiones
Chicago,IL,26
Philadelphia,PA,16
Houston,TX,13
Memphis,TN,11
Los Angeles,CA,11
Jacksonville,FL,10
Columbus,OH,10
Washington,DC,9
Portland,OR,9
Charlotte,NC,8
Dallas,TX,8
Baltimore,MD,7
Atlanta,GA,7
Fort Worth,TX,6
Milwaukee,WI,6
Mobile,AL,6
Albuquerque,NM,6
Toledo,OH,5
Brooklyn,NY,5
New York,NY,5
Woodbridge,VA,5
Rockford,IL,5
Little Rock,AR,4
Knoxville,TN,4
Las Vegas,NV,4
New Orleans,LA,4
Champaign,IL,4
Nashville,TN,4
Louisville,KY,4
Cleveland,OH,4
Yakima,WA,4
Kansas City,MO,4
Montgomery,AL,4
Lexington,KY,4
St. Louis,MO,4
Tulsa,OK,3
Colorado Springs,CO,3
San Francisco,CA,3
Fresno,CA,3
Pine Bluff,AR,3
Roanoke,VA,3
Minneapolis,MN,3
Winston-Salem,NC,3
Rochester,NY,3
Grand Rapids,MI,3
Aurora,CO,3
Omaha,NE,3
Portsmouth,VA,3
Newport News,VA,3
Denver,CO,3
